[	[ IdToken: 4	|		| Token: Paquete|		 | Lexema: 'paquete |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'Deposito |']		
, 	[ IdToken: 52	|		| Token: PuntoComa|		 | Lexema: '; |']		
, 	[ IdToken: 3	|		| Token: Importar|		 | Lexema: 'importar |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'depositos |']		
, 	[ IdToken: 52	|		| Token: PuntoComa|		 | Lexema: '; |']		
, 	[ IdToken: 40	|		| Token: Publico|		 | Lexema: 'publico |']		
, 	[ IdToken: 45	|		| Token: Clase|		 | Lexema: 'clase |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'Deposito |']		
, 	[ IdToken: 55	|		| Token: Llave_Abre|		 | Lexema: '{ |']		
, 	[ IdToken: 41	|		| Token: Privado|		 | Lexema: 'privado |']		
, 	[ IdToken: 26	|		| Token: Flotante|		 | Lexema: 'flotante |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'diametro |']		
, 	[ IdToken: 52	|		| Token: PuntoComa|		 | Lexema: '; |']		
, 	[ IdToken: 41	|		| Token: Privado|		 | Lexema: 'privado |']		
, 	[ IdToken: 26	|		| Token: Flotante|		 | Lexema: 'flotante |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'altura |']		
, 	[ IdToken: 52	|		| Token: PuntoComa|		 | Lexema: '; |']		
, 	[ IdToken: 41	|		| Token: Privado|		 | Lexema: 'privado |']		
, 	[ IdToken: 24	|		| Token: Cadena|		 | Lexema: 'cadena |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'idDeposito |']		
, 	[ IdToken: 52	|		| Token: PuntoComa|		 | Lexema: '; |']		
, 	[ IdToken: 40	|		| Token: Publico|		 | Lexema: 'publico |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'Deposito |']		
, 	[ IdToken: 54	|		| Token: Parentesis_Abre|		 | Lexema: '( |']		
, 	[ IdToken: 53	|		| Token: Parentesis_Cierre|		 | Lexema: ') |']		
, 	[ IdToken: 55	|		| Token: Llave_Abre|		 | Lexema: '{ |']		
, 	[ IdToken: 44	|		| Token: Este|		 | Lexema: 'este |']		
, 	[ IdToken: 54	|		| Token: Parentesis_Abre|		 | Lexema: '( |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: '0 |']		
, 	[ IdToken: 71	|		| Token: Coma|		 | Lexema: ', |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: '0 |']		
, 	[ IdToken: 71	|		| Token: Coma|		 | Lexema: ', |']		
, 	[ IdToken: 51	|		| Token: Comilla_Doble|		 | Lexema: '" |']		
, 	[ IdToken: 51	|		| Token: Comilla_Doble|		 | Lexema: '" |']		
, 	[ IdToken: 53	|		| Token: Parentesis_Cierre|		 | Lexema: ') |']		
, 	[ IdToken: 52	|		| Token: PuntoComa|		 | Lexema: '; |']		
, 	[ IdToken: 56	|		| Token: Llave_Cierre|		 | Lexema: '} |']		
, 	[ IdToken: 40	|		| Token: Publico|		 | Lexema: 'publico |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'Deposito |']		
, 	[ IdToken: 54	|		| Token: Parentesis_Abre|		 | Lexema: '( |']		
, 	[ IdToken: 26	|		| Token: Flotante|		 | Lexema: 'flotante |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'valor_diametro |']		
, 	[ IdToken: 71	|		| Token: Coma|		 | Lexema: ', |']		
, 	[ IdToken: 26	|		| Token: Flotante|		 | Lexema: 'flotante |']		
, 	[ IdToken: 2	|		| Token: Identificador|		 | Lexema: 'valor_altura |']		
, 	[ IdToken: 71	|		| Token: Coma|		 | Lexema: ', |']		
, 	[ IdToken: 24	|		| Token: Cadena|		 | Lexema: 'cadena |']		
